,System Pressure,,"Pump Pressure, ",,Reactor Temperature
Time(hr),PT1 (PSIA),PT2(PSIA),MX03 (PSI),MX04 (PSI,R10 (degC)
1.52389,13.59399,61.09483,94,54,120.67234
1.52417,13.56498,61.10893,94,54,120.66609
1.52444,13.51984,61.12753,94,54,120.63751
1.52472,13.48576,61.14621,94,54,120.62862
1.525,13.4246,61.16069,94,54,120.61428
1.52528,13.41046,61.16483,94,54,120.59892
1.52555,13.44707,61.16483,98,51,120.5858
1.52583,13.492,61.16482,98,51,120.56889
1.52611,13.54806,61.1648,98,51,120.55046
1.52639,13.47732,61.17751,98,51,120.52566
1.52667,13.71603,61.13458,98,51,120.4958
1.52694,13.89197,61.11836,98,51,120.46387
1.52722,13.76696,61.14896,98,51,120.42934
1.5275,13.73278,61.16821,98,51,120.39525
1.52778,13.55658,61.21738,95,55,120.36003
1.52805,13.54835,61.22008,95,55,120.32105
1.52833,13.91276,61.15881,95,55,120.28095
1.52861,13.96288,61.16034,95,55,120.25216
1.52889,13.84396,61.18077,95,55,120.09343
1.52917,13.67079,61.21506,95,55,120.14842
1.52944,13.44579,61.26775,95,55,120.26265
1.52972,13.5113,61.25446,95,55,120.37331
1.53,13.59906,61.24395,93,57,120.50313
1.53028,13.55556,61.24395,93,57,120.62483
1.53055,13.50975,61.25409,93,57,120.74032
1.53083,13.47923,61.26965,93,57,120.90694
1.53111,13.45627,61.28201,93,57,120.96279
1.53139,13.45943,61.2932,93,57,121.08553
1.53167,13.48898,61.29206,93,57,121.19409
1.53194,13.54588,61.28427,93,57,121.29863
1.53222,13.5854,61.28797,96,43,121.3053
1.5325,13.6179,61.29172,96,43,121.3369
1.53278,13.60346,61.30501,96,43,121.37256
1.53305,13.55542,61.3275,96,43,121.40411
1.53333,13.50263,61.3469,96,43,121.49813
1.53361,13.46931,61.36866,96,43,121.61979
1.53389,13.4319,61.39065,96,43,121.51025
1.53417,13.42784,61.41929,96,43,121.5916
1.53444,13.45768,61.43073,95,22,121.55696
1.53472,13.50385,61.44161,95,22,121.43689
1.535,13.55675,61.45181,95,22,121.50871
1.53528,13.60481,61.45188,95,22,121.47954
1.53555,13.61649,61.45795,95,22,121.53166
1.53583,13.59415,61.46816,95,22,121.45024
1.53611,13.56709,61.49134,95,22,121.4741
1.53639,13.55534,61.50956,95,22,121.42112
1.53667,13.53495,61.52408,96,54,121.33616
1.53694,13.51342,61.54352,96,54,121.27705
1.53722,13.4727,61.551,96,54,121.26023
1.5375,13.42753,61.55472,96,54,121.2598
1.53778,13.39428,61.56218,96,54,121.179
1.53805,13.40945,61.55633,96,54,121.14543
1.53833,13.46376,61.54934,96,54,121.13176
1.53861,13.52093,61.54387,96,54,121.00456
1.53889,13.59427,61.54012,94,53,120.92549
1.53917,13.64838,61.5401,94,53,120.91805
1.53944,13.66722,61.54009,94,53,120.87583
1.53972,13.63107,61.54009,94,53,120.81407
1.54,13.61835,61.5418,94,53,120.78999
