,System Pressure,,Pump Pressure,,Reactor Temperature
Time(hr),R1,R2,MX5,MX6,R7 ©
2.64639,10.12608,95.74038,128,143,154.97534
2.64667,8.71892,95.22759,128,143,154.98268
2.64694,8.18797,95.5995,123,146,154.99309
2.64722,9.12877,97.05921,123,146,154.9878
2.6475,10.66238,98.79803,123,146,154.97823
2.64778,12.74122,100.55899,123,146,154.9765
2.64806,14.7322,102.03913,123,146,155.1232
2.64833,16.28837,103.10552,123,146,155.09268
2.64861,16.66825,103.00264,123,146,155.08748
2.64889,16.138,102.37032,123,146,155.20566
2.64917,14.61645,100.95362,127,138,155.20142
2.64944,12.51966,99.14571,127,138,155.1796
2.64972,10.81635,97.63857,127,138,155.17534
2.65,9.83131,96.71503,127,138,155.17386
2.65028,8.68179,95.47642,127,138,155.1551
2.65056,8.91615,95.43905,127,138,155.15086
2.65083,9.67414,95.75144,127,138,155.17752
2.65111,10.87464,96.45617,127,138,155.19453
2.65139,12.84172,98.01253,126,144,155.26184
2.65167,14.73109,99.7764,126,144,155.21365
2.65194,15.61133,100.93792,126,144,155.20914
2.65222,15.94893,102.01242,126,144,155.37776
2.6525,15.19472,102.36202,126,144,155.37502
2.65278,13.99625,101.78317,126,144,155.34657
2.65306,12.90868,100.99668,126,144,155.33571
2.65333,11.56635,100.55729,126,144,155.32176
2.65361,10.73147,99.35152,130,138,155.28111
2.65389,9.84755,97.87071,130,138,155.27458
2.65417,9.63733,97.06882,130,138,155.26988
2.65444,10.44522,95.62965,130,138,155.24197
2.65472,12.48648,96.44162,130,138,155.23831
2.655,14.72245,97.53863,130,138,155.2262
2.65528,15.532,98.915,130,138,155.30157
2.65556,16.10738,101.84322,130,138,155.29832
2.65583,16.36489,103.92548,121,145,155.39453
2.65611,14.99311,104.54205,121,145,155.37502
2.65639,14.55492,104.60411,121,145,155.37123
2.65667,12.84009,102.28162,121,145,155.34492
2.65694,11.72335,99.78521,121,145,155.3392
2.65722,10.37828,97.91883,121,145,155.32767
2.6575,10.5421,96.06306,121,145,155.29813
2.65778,12.45509,94.17641,121,145,155.312
2.65806,13.58267,92.70692,124,139,155.28171
2.65833,15.35591,93.69772,124,139,155.26648
2.65861,17.58036,95.36406,124,139,155.24533
2.65889,17.22477,97.34991,124,139,155.10817
2.65917,16.56985,99.68935,124,139,155.11455
